"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did reoffend","Males",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.80262667620046
"Did reoffend","Males",20,"Caucasians",1,1,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.16648153899463
"Did not reoffend","Males",56,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.53358472660978
"Did reoffend","Males",30,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.55855481590179
"Did not reoffend","Males",56,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.10278276521888
"Did not reoffend","Males",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.09631610129355
"Did reoffend","Males",30,"African-Americans",15,1,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.92394671996266
"Did reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.63133346402085
"Did reoffend","Males",52,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.20038023695166
"Did reoffend","Males",36,"African-Americans",16,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",6.14215007001227
"Did not reoffend","Males",53,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.51589530058538
"Did not reoffend","Males",25,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.72980389809398
"Did not reoffend","Males",47,"African-Americans",14,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.47857032966785
"Did not reoffend","Males",28,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.7350394836803
"Did not reoffend","Males",35,"Hispanics",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.57386670812515
"Did reoffend","Males",24,"African-Americans",15,0,5,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",6.05279196583716
"Did reoffend","Females",21,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.39323865320102
"Did not reoffend","Females",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.88547300996197
"Did reoffend","Males",31,"Hispanics",8,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.45607790617851
"Did not reoffend","Females",52,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.54499635170257
"Did reoffend","Males",24,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.85655498648875
"Did reoffend","Males",21,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.47657943515818
"Did reoffend","Males",48,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.83941140604253
"Did not reoffend","Males",56,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.35977101417264
"Did not reoffend","Males",43,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.63570725126466
"Did reoffend","Males",24,"Caucasians",8,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.27287831118657
"Did not reoffend","Males",31,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.91603336989093
"Did reoffend","Males",26,"African-Americans",6,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.9624854622341
"Did reoffend","Males",44,"African-Americans",8,0,0,"Individuals convicted of a Misdemeanor","Violent offences",8,"Left-handed individuals",5.994610215389
"Did reoffend","Males",53,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.75977231552708
"Did not reoffend","Males",29,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.69719376432366
"Did reoffend","Males",28,"African-Americans",9,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.76390634320733
"Did not reoffend","Females",21,"African-Americans",2,0,1,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.16636288907414
"Did not reoffend","Males",29,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.16617906930026
"Did not reoffend","Females",56,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.65354483497051
"Did not reoffend","Females",31,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.52031674646893
"Did not reoffend","Males",38,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.68398155823562
"Did reoffend","Males",26,"African-Americans",9,0,1,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",6.01690746548652
"Did reoffend","Males",21,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.60586191678053
"Did not reoffend","Males",29,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.37663809294943
"Did not reoffend","Males",39,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.43173409873956
"Did not reoffend","Males",38,"African-Americans",15,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.89397709378739
"Did reoffend","Males",41,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.50760948193988
"Did reoffend","Males",50,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.24646378066733
"Did reoffend","Males",33,"African-Americans",19,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.84464189233923
"Did not reoffend","Males",31,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.32340708690608
"Did reoffend","Males",35,"African-Americans",6,0,0,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",6.03853798854653
"Did not reoffend","Males",21,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.781583889511
"Did reoffend","Males",22,"Caucasians",3,0,1,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.94054029847841
"Did reoffend","Males",33,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.5235573643662
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.0549032191917
"Did not reoffend","Males",46,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.2578527333403
"Did reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.94612689758592
"Did not reoffend","Males",25,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.93482729155069
"Did not reoffend","Females",44,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.67883467935759
"Did reoffend","Males",27,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.7785152671694
"Did reoffend","Males",26,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.59388534038772
"Did reoffend","Males",23,"African-Americans",5,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.94666880047621
"Did not reoffend","Males",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.76626051063045
"Did reoffend","Males",26,"Asians",2,0,0,"Individuals convicted of a Felony","Violent offences",3,"Left-handed individuals",5.89318681520021
"Did not reoffend","Females",28,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.47508208216441
"Did reoffend","Males",27,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.90627869670547
"Did reoffend","Males",31,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.69346410420481
"Did reoffend","Males",44,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.46615268151276
"Did reoffend","Males",24,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.00386646467687
"Did not reoffend","Males",30,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.73269454299017
"Did reoffend","Males",37,"Caucasians",7,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.68074343101099
"Did reoffend","Males",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.66571804139478
"Did not reoffend","Males",34,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.4974909066093
"Did not reoffend","Males",25,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.45202439157119
"Did not reoffend","Males",26,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.60306778245693
"Did not reoffend","Males",29,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.3029453212387
"Did reoffend","Males",26,"Caucasians",5,0,0,"Individuals convicted of a Felony","Violent offences",4,"Left-handed individuals",5.53784384117089
"Did not reoffend","Males",27,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.58885054062073
"Did reoffend","Females",44,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.6690950613749
"Did not reoffend","Males",61,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.39940698867558
"Did not reoffend","Males",36,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.79395778451557
"Did reoffend","Males",42,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.83783337809179
"Did reoffend","Males",47,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.82986610860581
"Did reoffend","Females",28,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.50282003679611
"Did not reoffend","Males",30,"Caucasians",3,0,1,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.4322596544935
"Did not reoffend","Males",25,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.63213497914178
"Did not reoffend","Males",45,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.61975092126011
"Did not reoffend","Females",30,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.68971617110173
"Did reoffend","Males",30,"African-Americans",13,0,0,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",6.08354629804255
"Did not reoffend","Females",37,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.5486438176929
"Did reoffend","Females",33,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.97637903870625
"Did reoffend","Males",37,"Caucasians",11,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.99119995829312
"Did not reoffend","Males",31,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.83176264846314
"Did not reoffend","Males",44,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.76595325564994
"Did not reoffend","Males",51,"Others",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.59971186729169
"Did reoffend","Females",47,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.51115447300872
"Did reoffend","Males",19,"Hispanics",2,2,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.12817154588544
"Did reoffend","Males",22,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",6,"Left-handed individuals",5.53692759101607
"Did not reoffend","Males",32,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.34696552029988
"Did not reoffend","Females",28,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.70589096594048
"Did not reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.69371321811589
"Did not reoffend","Males",31,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.82447077022494
"Did reoffend","Males",28,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.80729823262021
"Did not reoffend","Males",24,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.7473517000995
"Did not reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.68315023071582
"Did not reoffend","Females",41,"Others",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.73891632489874
"Did reoffend","Males",28,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.65766555885286
"Did reoffend","Males",20,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.66042850131602
"Did not reoffend","Males",25,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.54315321860154
"Did not reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.1692507274675
"Did not reoffend","Males",27,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.81536617506662
"Did not reoffend","Males",54,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.48290045393571
"Did not reoffend","Males",34,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.66812682908874
"Did reoffend","Males",52,"Caucasians",16,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.17271015693038
"Did not reoffend","Males",27,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.94443585425882
"Did reoffend","Males",24,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.08235128981002
"Did reoffend","Females",38,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.68113926065841
"Did not reoffend","Females",55,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.86877688387493
"Did not reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.77626989518021
"Did reoffend","Males",23,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.30359979040642
"Did not reoffend","Females",48,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.5901460094352
"Did reoffend","Males",56,"Caucasians",7,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.91829304643916
"Did reoffend","Males",26,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.79145206873601
"Did not reoffend","Males",28,"African-Americans",7,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.93820901507243
"Did not reoffend","Males",61,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.75852748531209
"Did not reoffend","Males",36,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.70178580688238
"Did not reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.58738213627332
"Did not reoffend","Males",57,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.50727967353036
"Did not reoffend","Males",24,"Others",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.54739228791305
"Did not reoffend","Females",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.79732755774
"Did not reoffend","Males",54,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.92519667965454
"Did not reoffend","Males",38,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.94525515704158
"Did reoffend","Females",20,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.2418182628592
"Did reoffend","Males",22,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Violent offences",9,"Left-handed individuals",6.18030612567755
"Did reoffend","Males",35,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.66194674969543
"Did not reoffend","Males",31,"Others",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.56447936810638
"Did reoffend","Males",37,"African-Americans",6,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.61625055090739
"Did reoffend","Males",43,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.60697100511401
"Did not reoffend","Males",36,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.79532047091803
"Did not reoffend","Males",40,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.29831589880503
"Did not reoffend","Males",44,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.9615335356424
"Did not reoffend","Females",33,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.92315734871427
"Did not reoffend","Males",26,"Hispanics",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.63338133374046
"Did not reoffend","Males",25,"Native Americans",7,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.79004980506688
"Did not reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.60751030219504
"Did not reoffend","Males",40,"Caucasians",9,1,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.16557481140108
"Did reoffend","Males",56,"Others",6,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.66263529468958
"Did reoffend","Males",30,"African-Americans",20,2,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.97189336390171
"Did not reoffend","Males",32,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.37166439283284
"Did not reoffend","Males",31,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.63049688748316
"Did not reoffend","Males",43,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.3088030904756
"Did not reoffend","Males",38,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.49560448369786
"Did not reoffend","Males",28,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.5983546746143
"Did reoffend","Males",19,"African-Americans",1,0,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.14809940006519
"Did not reoffend","Males",28,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.88870937670636
"Did not reoffend","Males",27,"Hispanics",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.6597099931694
"Did not reoffend","Males",36,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.64828724568056
"Did reoffend","Males",69,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.97373776037108
"Did reoffend","Males",45,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Violent offences",3,"Left-handed individuals",5.833145168446
"Did not reoffend","Females",33,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.56432763432016
"Did not reoffend","Males",55,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.56522545852436
"Did not reoffend","Males",32,"Hispanics",20,1,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.13772643013553
"Did not reoffend","Males",20,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.6791546175302
"Did reoffend","Males",50,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.7923668808636
"Did reoffend","Males",22,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.64396905748511
"Did reoffend","Males",21,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",8,"Left-handed individuals",6.20686371830927
"Did not reoffend","Males",48,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.81011558680294
"Did reoffend","Males",37,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Violent offences",9,"Left-handed individuals",5.81838009643675
"Did not reoffend","Males",38,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.57067248686625
"Did reoffend","Males",23,"Caucasians",6,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.8533791847307
"Did not reoffend","Females",23,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.5796759692126
"Did not reoffend","Males",52,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.41974943433614
"Did not reoffend","Males",49,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.34036484172721
"Did not reoffend","Males",46,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.65061045600108
"Did not reoffend","Males",21,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.29468066419225
"Did reoffend","Males",41,"African-Americans",18,2,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.95762857285221
"Did not reoffend","Males",30,"Caucasians",6,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.01738903774943
"Did not reoffend","Males",23,"Hispanics",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.81703766622186
"Did not reoffend","Females",27,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.64665131606039
"Did not reoffend","Males",29,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.93390287190437
"Did not reoffend","Females",29,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.66655402868213
"Did reoffend","Males",45,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.57576812415592
"Did reoffend","Males",28,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.54979007427116
"Did not reoffend","Males",23,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.84959199353531
"Did reoffend","Males",35,"African-Americans",10,0,0,"Individuals convicted of a Misdemeanor","Violent offences",8,"Left-handed individuals",5.90048047751305
"Did reoffend","Females",44,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",1,"Left-handed individuals",5.44603189956177
"Did reoffend","Females",38,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.50669072431822
"Did not reoffend","Males",55,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.95268990711214
"Did not reoffend","Males",35,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.58707592065602
"Did reoffend","Males",27,"African-Americans",1,0,0,"Individuals convicted of a Felony","Violent offences",4,"Left-handed individuals",5.78228458066377
"Did reoffend","Males",30,"African-Americans",13,0,2,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.0049930259197
"Did not reoffend","Males",26,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.68810891712063
"Did reoffend","Females",32,"Caucasians",6,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.91207261336975
"Did not reoffend","Males",24,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.89651064408248
"Did not reoffend","Males",25,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.67794832247429
"Did not reoffend","Females",30,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.72072590958804
"Did reoffend","Males",33,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.45702515920734
"Did reoffend","Males",35,"African-Americans",12,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.67925854784177
"Did not reoffend","Females",25,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.82977020237771
"Did not reoffend","Males",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.68580426806151
"Did not reoffend","Males",27,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",5.79618412634564
"Did reoffend","Males",25,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.07436796940356
"Did not reoffend","Males",47,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.64861384351431
"Did reoffend","Males",39,"African-Americans",7,0,0,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",5.81345390289353
